"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","932","Remover el carrito de compras desde shopping cart","","2025-12-23","passed","2025-12-23","","Smoke Test | Validar si el Sistema es funcionale stable","",""
"","706","Ingresar un Usuario bloqueado","","2025-12-23","passed","2025-12-23","","Smoke Test | Validar si el Sistema es funcionale stable","",""
"","1157","Login exitoso con credenciales válidas","","2025-12-23","passed","2025-12-23","","Smoke Test | Validar si el Sistema es funcionale stable","",""
"","900","Agregar varios productos al carrito","","2025-12-23","passed","2025-12-23","","Smoke Test | Validar si el Sistema es funcionale stable","",""
"","1768","Finalizar la compra con datos de usuario validos y volver a la pantalla de productos","","2025-12-23","passed","2025-12-23","","Smoke Test | Validar si el Sistema es funcionale stable","",""
"","827","Remover un producto del carrito desde products","","2025-12-23","passed","2025-12-23","","Smoke Test | Validar si el Sistema es funcionale stable","",""
"","1222","Login exitoso con credenciales válidas y luego desloguear","","2025-12-23","passed","2025-12-23","","Smoke Test | Validar si el Sistema es funcionale stable","",""
"","981","En Checkout dejar los campos de usuario en blanco","","2025-12-23","passed","2025-12-23","","Smoke Test | Validar si el Sistema es funcionale stable","",""
"","146","Acceso a URL protegida sin Login","","2025-12-23","passed","2025-12-23","","Smoke Test | Validar si el Sistema es funcionale stable","",""
"","11135","Login error con credenciales válidas","","2025-12-23","failed","2025-12-23","","Smoke Test | Validar si el Sistema es funcionale stable","",""
